row,original_text,original_word,corrected_word,source
284,Na aw'o w'inughagha bea ra mumbi ndew'idimagha kumrira Mlungu.,aw'o,awo,apostrophe_rule
284,Na aw'o w'inughagha bea ra mumbi ndew'idimagha kumrira Mlungu.,w'inughagha,winughagha,apostrophe_rule
284,Na aw'o w'inughagha bea ra mumbi ndew'idimagha kumrira Mlungu.,ndew'idimagha,ndewidimagha,apostrophe_rule
285,Baa w'awi kuchumba umweri.,w'awi,wawi,apostrophe_rule
286,Vua mbaha yaw'esuw'irilwa mori ghuchagha.,yaw'esuw'irilwa,yawesuwirilwa,apostrophe_rule
294,W'aw'aye ni mrighiti.,W'aw'aye,Wawaye,apostrophe_rule
297,Dikundane diw'eni kwa diw'eni.,diw'eni,diweni,apostrophe_rule
297,Dikundane diw'eni kwa diw'eni.,diw'eni,diweni,apostrophe_rule
304,W'alodi w'a tee w'echachurikia.,W'alodi,Walodi,apostrophe_rule
304,W'alodi w'a tee w'echachurikia.,w'a,wa,apostrophe_rule
304,W'alodi w'a tee w'echachurikia.,w'echachurikia,wechachurikia,apostrophe_rule
306,Hikima yaw'adie fwaida mbaa kuchumba fedha.,yaw'adie,yawadie,apostrophe_rule
307,Kusekebonya iriso na mndu otumia ndighi.,mndu,mundu,confirmed_correction
308,W'andu w'iboilwagha ni kubonya maw'iw'i.,W'andu,Wandu,apostrophe_rule
308,W'andu w'iboilwagha ni kubonya maw'iw'i.,w'iboilwagha,wiboilwagha,apostrophe_rule
308,W'andu w'iboilwagha ni kubonya maw'iw'i.,maw'iw'i,mawiwi,apostrophe_rule
311,Funya mifugho w'azenyi.,w'azenyi,wazenyi,apostrophe_rule
314,Orekoghe na w'wana ghodeda ghuseko na w'aya.,w'wana,wwana,apostrophe_rule
314,Orekoghe na w'wana ghodeda ghuseko na w'aya.,w'aya,waya,apostrophe_rule
315,Saghua mafundisho w'ulalo ghwa feza.,w'ulalo,wulalo,apostrophe_rule
316,Mndu ukaniw'ona waaw'ona irangi.,Mndu,Mundu,confirmed_correction
316,Mndu ukaniw'ona waaw'ona irangi.,ukaniw'ona,ukaniwona,apostrophe_rule
316,Mndu ukaniw'ona waaw'ona irangi.,waaw'ona,waawona,apostrophe_rule
317,W'ose w'izamilwagha ni ini w'eekunda kufwa.,W'ose,Wose,apostrophe_rule
317,W'ose w'izamilwagha ni ini w'eekunda kufwa.,w'izamilwagha,wizamilwagha,apostrophe_rule
317,W'ose w'izamilwagha ni ini w'eekunda kufwa.,w'eekunda,weekunda,apostrophe_rule
319,Mmbiw'i wadaghushwa ni w'uw'iw'i ghwake.,Mmbiw'i,Mmbiwi,apostrophe_rule
319,Mmbiw'i wadaghushwa ni w'uw'iw'i ghwake.,w'uw'iw'i,wuwiwi,apostrophe_rule
320,W'azumba wa Mlungu.,W'azumba,Wazumba,apostrophe_rule
325,W'azighaniri w'echa w'a manosi gha Mlungu.,W'azighaniri,Wazighaniri,apostrophe_rule
325,W'azighaniri w'echa w'a manosi gha Mlungu.,w'echa,wecha,apostrophe_rule
325,W'azighaniri w'echa w'a manosi gha Mlungu.,w'a,wa,apostrophe_rule
328,W'ashahidi dighuwonie w'ubaa ghwa Kristo.,W'ashahidi,Washahidi,apostrophe_rule
328,W'ashahidi dighuwonie w'ubaa ghwa Kristo.,w'ubaa,wubaa,apostrophe_rule
329,W'alimu wa tee.,W'alimu,Walimu,apostrophe_rule
330,Ilagho ja irangi.,ja,jha,confirmed_correction
332,Kuw'itanya w'azima.,Kuw'itanya,Kuwitanya,apostrophe_rule
332,Kuw'itanya w'azima.,w'azima,wazima,apostrophe_rule
337,W'aaghi w'awi.,W'aaghi,Waaghi,apostrophe_rule
337,W'aaghi w'awi.,w'awi,wawi,apostrophe_rule
339,Jesu oreboisireghe w'andu w'iko na sima.,w'andu,wandu,apostrophe_rule
339,Jesu oreboisireghe w'andu w'iko na sima.,w'iko,wiko,apostrophe_rule
341,W'iw'urie kufuma wubarishonyi.,W'iw'urie,Wiwurie,apostrophe_rule
345,Kulomba w'utesia nakesho.,w'utesia,wutesia,apostrophe_rule
346,Kulomba w'utesia nakenyi.,w'utesia,wutesia,apostrophe_rule
347,Ilombi jelomba w'ulindiri.,w'ulindiri,wulindiri,apostrophe_rule
349,Ilombi jelomba w'utesia ngelo kwapata w'asi.,w'utesia,wutesia,apostrophe_rule
349,Ilombi jelomba w'utesia ngelo kwapata w'asi.,w'asi,wasi,apostrophe_rule
350,Kwamrusha kirumbu cha w'ubaa na hishima.,w'ubaa,wubaa,apostrophe_rule
351,W'amaiza wapo.,W'amaiza,Wamaiza,apostrophe_rule
352,Aw'o w'isow'agha ndew'ichaliw'ika.,Aw'o,Awo,apostrophe_rule
352,Aw'o w'isow'agha ndew'ichaliw'ika.,w'isow'agha,wisowagha,apostrophe_rule
352,Aw'o w'isow'agha ndew'ichaliw'ika.,ndew'ichaliw'ika,ndewichaliwika,apostrophe_rule
354,W'uw'iw'i ghwa mdamu.,W'uw'iw'i,Wuwiwi,apostrophe_rule
356,Ela w'ose w'eelaghaya.,w'ose,wose,apostrophe_rule
356,Ela w'ose w'eelaghaya.,w'eelaghaya,weelaghaya,apostrophe_rule
357,W'ichakaiya na kiture kibaa.,W'ichakaiya,Wichakaiya,apostrophe_rule
358,Ilombi ja mndu usekosere.,ja,jha,confirmed_correction
358,Ilombi ja mndu usekosere.,mndu,mundu,confirmed_correction
359,Ndewina w'ughoma.,w'ughoma,wughoma,apostrophe_rule
361,W'eeka w'ikunde kunirashua.,W'eeka,Weeka,apostrophe_rule
361,W'eeka w'ikunde kunirashua.,w'ikunde,wikunde,apostrophe_rule
362,Lumbo lwa w'usimi.,w'usimi,wusimi,apostrophe_rule
364,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,w'ana,wana,apostrophe_rule
364,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,w'iko,wiko,apostrophe_rule
366,W'ubaa ghwa Mlungu kwa nyamandu.,W'ubaa,Wubaa,apostrophe_rule
372,Kuhea na kufuilwa w'ughoma.,w'ughoma,wughoma,apostrophe_rule
374,Mbori raaw'uya vindo vapo.,raaw'uya,raawuya,apostrophe_rule
375,W'anifasha na madukano.,W'anifasha,Wanifasha,apostrophe_rule
377,W'ukelu ghokusaghika na mali.,W'ukelu,Wukelu,apostrophe_rule
379,W'utasi ghwa loli.,W'utasi,Wutasi,apostrophe_rule
389,W'ajinona ilaghano.,W'ajinona,Wajinona,apostrophe_rule
398,W'ulalo w'ininekie.,W'ulalo,Wulalo,apostrophe_rule
398,W'ulalo w'ininekie.,w'ininekie,wininekie,apostrophe_rule
399,W'andu w'eka na w'uya mzima mzima.,W'andu,Wandu,apostrophe_rule
399,W'andu w'eka na w'uya mzima mzima.,w'eka,weka,apostrophe_rule
399,W'andu w'eka na w'uya mzima mzima.,w'uya,wuya,apostrophe_rule
400,W'adia kilambo kizima.,W'adia,Wadia,apostrophe_rule
402,W'aw'ekimbiria mbaghonyi.,W'aw'ekimbiria,Wawekimbiria,apostrophe_rule
413,Ow'ilegha w'aghenyi w'aw'ongeri.,Ow'ilegha,Owilegha,apostrophe_rule
413,Ow'ilegha w'aghenyi w'aw'ongeri.,w'aghenyi,waghenyi,apostrophe_rule
413,Ow'ilegha w'aghenyi w'aw'ongeri.,w'aw'ongeri,wawongeri,apostrophe_rule
414,Chia iw'i ralemie mbisi.,iw'i,iwi,apostrophe_rule
416,Narumaghia masholio kwa w'undu ghwako.,w'undu,wundu,apostrophe_rule
417,Aw'o w'edenimenya.,Aw'o,Awo,apostrophe_rule
417,Aw'o w'edenimenya.,w'edenimenya,wedenimenya,apostrophe_rule
418,Nasirilwa ni isuw'irio.,isuw'irio,isuwirio,apostrophe_rule
419,W'aw'ongeri w'aw'enibora.,W'aw'ongeri,Wawongeri,apostrophe_rule
419,W'aw'ongeri w'aw'enibora.,w'aw'enibora,wawenibora,apostrophe_rule
422,Kusughuse mighongo yaw'o.,yaw'o,yawo,apostrophe_rule
429,W'eremtimieghe kidali.,W'eremtimieghe,Weremtimieghe,apostrophe_rule
430,Chaw'ucha kwa w'undu ghwako ghwa w'ughoma.,Chaw'ucha,Chawucha,apostrophe_rule
430,Chaw'ucha kwa w'undu ghwako ghwa w'ughoma.,w'undu,wundu,apostrophe_rule
430,Chaw'ucha kwa w'undu ghwako ghwa w'ughoma.,w'ughoma,wughoma,apostrophe_rule
431,Maw'onyero aighu ya tee.,Maw'onyero,Mawonyero,apostrophe_rule
432,W'atesia w'a ikanisenyi.,W'atesia,Watesia,apostrophe_rule
432,W'atesia w'a ikanisenyi.,w'a,wa,apostrophe_rule
437,Mzenyu ndeiw'enya.,ndeiw'enya,ndeiwenya,apostrophe_rule
440,Naw'eenda cha shighadi kulola chaghu.,Naw'eenda,Naweenda,apostrophe_rule
441,Njumwa iw'i richaa.,iw'i,iwi,apostrophe_rule
445,Dende mbuw'enyi.,mbuw'enyi,mbuwenyi,apostrophe_rule
450,W'ikadilomba ilagho jimweri.,W'ikadilomba,Wikadilomba,apostrophe_rule
451,Isi si w'andu w'a kaung'a.,w'andu,wandu,apostrophe_rule
451,Isi si w'andu w'a kaung'a.,w'a,wa,apostrophe_rule
456,W'eni mwana mkelie inyo.,W'eni,Weni,apostrophe_rule
460,Ndew'ado ni njowe.,Ndew'ado,Ndewado,apostrophe_rule
464,Dikiw'eseria ngelo ya kufunukulwa kwa irumirio.,Dikiw'eseria,Dikiweseria,apostrophe_rule
467,W'alindiri na w'azighani.,W'alindiri,Walindiri,apostrophe_rule
467,W'alindiri na w'azighani.,w'azighani,wazighani,apostrophe_rule
468,Ghuw'ikilo ni ndee.,Ghuw'ikilo,Ghuwikilo,apostrophe_rule
470,Siw'eghora tee anduangi.,Siw'eghora,Siweghora,apostrophe_rule
472,W'andu w'a makanisa gha Kristo ndew'erekoghe w'aniw'ona.,W'andu,Wandu,apostrophe_rule
472,W'andu w'a makanisa gha Kristo ndew'erekoghe w'aniw'ona.,w'a,wa,apostrophe_rule
472,W'andu w'a makanisa gha Kristo ndew'erekoghe w'aniw'ona.,ndew'erekoghe,ndewerekoghe,apostrophe_rule
472,W'andu w'a makanisa gha Kristo ndew'erekoghe w'aniw'ona.,w'aniw'ona,waniwona,apostrophe_rule
473,W'ichamanya ichi w'ichisikiragha chieka.,W'ichamanya,Wichamanya,apostrophe_rule
473,W'ichamanya ichi w'ichisikiragha chieka.,w'ichisikiragha,wichisikiragha,apostrophe_rule
475,Ukaniw'anga kwa mvono ghwake.,Ukaniw'anga,Ukaniwanga,apostrophe_rule
476,Hata niseendajoka Dawida huw'u.,huw'u,huwu,apostrophe_rule
479,Paulo na w'aja w'adumi w'azima.,w'aja,waja,apostrophe_rule
479,Paulo na w'aja w'adumi w'azima.,w'adumi,wadumi,apostrophe_rule
479,Paulo na w'aja w'adumi w'azima.,w'azima,wazima,apostrophe_rule
482,Odeka na w'aruna w'a tee.,w'aruna,waruna,apostrophe_rule
482,Odeka na w'aruna w'a tee.,w'a,wa,apostrophe_rule
483,W'ulalo ghwaro.,W'ulalo,Wulalo,apostrophe_rule
484,W'erewonieghe nedumwa.,W'erewonieghe,Werewonieghe,apostrophe_rule
485,Disew'iliw'e w'akiw'a.,Disew'iliw'e,Disewiliwe,apostrophe_rule
485,Disew'iliw'e w'akiw'a.,w'akiw'a,wakiwa,apostrophe_rule
486,Igho ja mbembenyi,ja,jha,confirmed_correction
487,Inyo mwaw'eghora wada?,mwaw'eghora,mwaweghora,apostrophe_rule
489,Isuw'irio jichagha.,Isuw'irio,Isuwirio,apostrophe_rule
490,Aw'o w'ikosagha w'ichapata kumanya.,Aw'o,Awo,apostrophe_rule
490,Aw'o w'ikosagha w'ichapata kumanya.,w'ikosagha,wikosagha,apostrophe_rule
490,Aw'o w'ikosagha w'ichapata kumanya.,w'ichapata,wichapata,apostrophe_rule
493,W'ana kudinekie.,W'ana,Wana,apostrophe_rule
494,Aw'a w'ikuserie w'ichapata maboilo.,Aw'a,Awa,apostrophe_rule
494,Aw'a w'ikuserie w'ichapata maboilo.,w'ikuserie,wikuserie,apostrophe_rule
494,Aw'a w'ikuserie w'ichapata maboilo.,w'ichapata,wichapata,apostrophe_rule
496,W'andu w'isesikiragha.,W'andu,Wandu,apostrophe_rule
496,W'andu w'isesikiragha.,w'isesikiragha,wisesikiragha,apostrophe_rule
498,Maw'iw'i agho.,Maw'iw'i,Mawiwi,apostrophe_rule
499,Mchakuw'ida viro.,Mchakuw'ida,Mchakuwida,apostrophe_rule
505,Ndomuw'iwo'nagha sena.,Ndomuw'iwo'nagha,Ndomuwiwonagha,apostrophe_rule
507,W'idedagha kiteto chisetambukagha.,W'idedagha,Widedagha,apostrophe_rule
508,W'uw'iw'i ghwaw'o ghose.,W'uw'iw'i,Wuwiwi,apostrophe_rule
508,W'uw'iw'i ghwaw'o ghose.,ghwaw'o,ghwawo,apostrophe_rule
516,W'wada kinubi chako.,W'wada,Wwada,apostrophe_rule
519,Yaw'uya sughuswa nandighi.,Yaw'uya,Yawuya,apostrophe_rule
522,W'urumwengu ghwaw'emichwamichwa.,W'urumwengu,Wurumwengu,apostrophe_rule
522,W'urumwengu ghwaw'emichwamichwa.,ghwaw'emichwamichwa,ghwawemichwamichwa,apostrophe_rule
523,Sa mw'ongeri.,mw'ongeri,mwongeri,apostrophe_rule
530,Naw'eoghosha vilambo.,Naw'eoghosha,Naweoghosha,apostrophe_rule
531,Nakunde nikulow'uo.,nikulow'uo,nikulowuo,apostrophe_rule
534,W'esigha kazi yeshona.,W'esigha,Wesigha,apostrophe_rule
535,W'ana wilow'uo.,W'ana,Wana,apostrophe_rule
535,W'ana wilow'uo.,wilow'uo,wilowuo,apostrophe_rule
537,Aw'o w'iko na w'wana ghonywa chofi.,Aw'o,Awo,apostrophe_rule
537,Aw'o w'iko na w'wana ghonywa chofi.,w'iko,wiko,apostrophe_rule
537,Aw'o w'iko na w'wana ghonywa chofi.,w'wana,wwana,apostrophe_rule
538,Ndew'isilwagha hata ndew'ikuw'agha.,Ndew'isilwagha,Ndewisilwagha,apostrophe_rule
538,Ndew'isilwagha hata ndew'ikuw'agha.,ndew'ikuw'agha,ndewikuwagha,apostrophe_rule
539,Ndew'idungumiagha hata ndew'ilalagha.,Ndew'idungumiagha,Ndewidungumiagha,apostrophe_rule
539,Ndew'idungumiagha hata ndew'ilalagha.,ndew'ilalagha,ndewilalagha,apostrophe_rule
540,Maw'anu ghaw'o ghikalie.,Maw'anu,Mawanu,apostrophe_rule
540,Maw'anu ghaw'o ghikalie.,ghaw'o,ghawo,apostrophe_rule
541,Ndana raw'o rafungilo.,raw'o,rawo,apostrophe_rule
543,Leka w'iniloghe.,w'iniloghe,winiloghe,apostrophe_rule
544,W'akumbwa vighow'a.,W'akumbwa,Wakumbwa,apostrophe_rule
544,W'akumbwa vighow'a.,vighow'a,vighowa,apostrophe_rule
545,W'agafilika putu,W'agafilika,Wagafilika,apostrophe_rule
549,Ugho ni w'ukelu.,w'ukelu,wukelu,apostrophe_rule
550,Mae ni msaw'i.,msaw'i,msawi,apostrophe_rule
551,Mapemba ghaw'urwa.,ghaw'urwa,ghawurwa,apostrophe_rule
553,Kwaki kuw'uyaa nanyuma.,kuw'uyaa,kuwuyaa,apostrophe_rule
555,Mka oko na kwaw'o.,kwaw'o,kwawo,apostrophe_rule
557,Huw'u walow'ue?,Huw'u,Huwu,apostrophe_rule
557,Huw'u walow'ue?,walow'ue,walowue,apostrophe_rule
568,Chofi ra w'a ghosi.,w'a,wa,apostrophe_rule
571,Disecheghisow'a malagho agho.,Disecheghisow'a,Disecheghisowa,apostrophe_rule
575,W'ana w'a ndee umweri.,W'ana,Wana,apostrophe_rule
575,W'ana w'a ndee umweri.,w'a,wa,apostrophe_rule
576,Ufwananisho na w'aruna.,w'aruna,waruna,apostrophe_rule
577,Kuhora kwa w'ana wa Mlungu.,w'ana,wana,apostrophe_rule
579,Msakeghada sa w'ana w'a noko.,w'ana,wana,apostrophe_rule
579,Msakeghada sa w'ana w'a noko.,w'a,wa,apostrophe_rule
580,Deko na isuw'irio.,isuw'irio,isuwirio,apostrophe_rule
584,W'ichaasagha matuku ghawo ghikevika.,W'ichaasagha,Wichaasagha,apostrophe_rule
588,Iji w'aw'onyera lubando uchaainjwa.,w'aw'onyera,wawonyera,apostrophe_rule
589,Mbari yaw'o eelegha maghaluso.,yaw'o,yawo,apostrophe_rule
592,W'aka w'eka na ghawo.,W'aka,Waka,apostrophe_rule
592,W'aka w'eka na ghawo.,w'eka,weka,apostrophe_rule
599,W'aghenyi w'ikamredia marumba mecha.,W'aghenyi,Waghenyi,apostrophe_rule
599,W'aghenyi w'ikamredia marumba mecha.,w'ikamredia,wikamredia,apostrophe_rule
600,Ngalemwa kuw'imanaya aw'a w'andu.,kuw'imanaya,kuwimanaya,apostrophe_rule
600,Ngalemwa kuw'imanaya aw'a w'andu.,aw'a,awa,apostrophe_rule
600,Ngalemwa kuw'imanaya aw'a w'andu.,w'andu,wandu,apostrophe_rule
602,Ukakakongoma kumanye waw'uya mkongo.,waw'uya,wawuya,apostrophe_rule
604,Nee ing'oni ja Jesu.,ja,jha,confirmed_correction
605,W'ikazoya kuzoghelwa ni nyamandu ra isakenyi.,W'ikazoya,Wikazoya,apostrophe_rule
606,Ghenda kuniloghe sena ela saw'efwa kungi.,saw'efwa,sawefwa,apostrophe_rule
607,Aw'o w'ikunde kukumeria w'ichafushwa w'aya.,Aw'o,Awo,apostrophe_rule
607,Aw'o w'ikunde kukumeria w'ichafushwa w'aya.,w'ikunde,wikunde,apostrophe_rule
607,Aw'o w'ikunde kukumeria w'ichafushwa w'aya.,w'ichafushwa,wichafushwa,apostrophe_rule
607,Aw'o w'ikunde kukumeria w'ichafushwa w'aya.,w'aya,waya,apostrophe_rule
608,Choo dilow'uane dikanye.,dilow'uane,dilowuane,apostrophe_rule
610,W'omi moko na ndighi.,W'omi,Womi,apostrophe_rule
611,Huw'u ni loli walow'olo.,Huw'u,Huwu,apostrophe_rule
611,Huw'u ni loli walow'olo.,walow'olo,walowolo,apostrophe_rule
612,Naw'ekughesha ngelo yose.,Naw'ekughesha,Nawekughesha,apostrophe_rule
614,Kukakunda w'uloli kotia w'ana,w'uloli,wuloli,apostrophe_rule
614,Kukakunda w'uloli kotia w'ana,w'ana,wana,apostrophe_rule
616,Dakuvoya kuw'ishashire na kuw'ikanie.,kuw'ishashire,kuwishashire,apostrophe_rule
616,Dakuvoya kuw'ishashire na kuw'ikanie.,kuw'ikanie,kuwikanie,apostrophe_rule
617,Mndu ungi uja usekumenye.,Mndu,Mundu,confirmed_correction
617,Mndu ungi uja usekumenye.,uja,ujha,confirmed_correction
619,Ukelegha mafundisho nidamw'unja mzaw'o.,nidamw'unja,nidamwunja,apostrophe_rule
619,Ukelegha mafundisho nidamw'unja mzaw'o.,mzaw'o,mzawo,apostrophe_rule
622,Kukaniw'ona kunilaw'ie sile yako.,Kukaniw'ona,Kukaniwona,apostrophe_rule
622,Kukaniw'ona kunilaw'ie sile yako.,kunilaw'ie,kunilawie,apostrophe_rule
623,W'aw'ibonya malaika w'ake w'iw'uye mbeo.,W'aw'ibonya,Wawibonya,apostrophe_rule
623,W'aw'ibonya malaika w'ake w'iw'uye mbeo.,w'ake,wake,apostrophe_rule
623,W'aw'ibonya malaika w'ake w'iw'uye mbeo.,w'iw'uye,wiwuye,apostrophe_rule
624,W'aw'ibonya w'adumiki w'ake chumi ra modo.,W'aw'ibonya,Wawibonya,apostrophe_rule
624,W'aw'ibonya w'adumiki w'ake chumi ra modo.,w'adumiki,wadumiki,apostrophe_rule
624,W'aw'ibonya w'adumiki w'ake chumi ra modo.,w'ake,wake,apostrophe_rule
627,W'ereleloghe ni kungia kwa kusowa irumirio.,W'ereleloghe,Wereleloghe,apostrophe_rule
628,Mariw'a ni gha w'abonjo.,Mariw'a,Mariwa,apostrophe_rule
628,Mariw'a ni gha w'abonjo.,w'abonjo,wabonjo,apostrophe_rule
629,Vindo vikurie ni va w'andu w'abaa.,w'andu,wandu,apostrophe_rule
629,Vindo vikurie ni va w'andu w'abaa.,w'abaa,wabaa,apostrophe_rule
635,Mlodi m'baa ukasigharika ngomenyi kwa mzuri.,m'baa,mbaa,apostrophe_rule
636,Ndokuchee mndu kungi nyuma yake.,mndu,mundu,confirmed_correction
640,Ukakumbwa kwa iw'iw'i ja modo.,iw'iw'i,iwiwi,apostrophe_rule
640,Ukakumbwa kwa iw'iw'i ja modo.,ja,jha,confirmed_correction
642,Uja mghosi ukakuduka loliloli.,Uja,Ujha,confirmed_correction
648,Mdawana m'baha ukalila mbori.,m'baha,mbaha,apostrophe_rule
660,Iriso jabwaghaa mndu mkelu.,mndu,mundu,confirmed_correction
684,Kwavolwa kusighe kukaba m'mbenyu.,m'mbenyu,mmbenyu,apostrophe_rule
695,Wendam'mbona mbaha ukawuka kimusi.,Wendam'mbona,Wendammbona,apostrophe_rule
713,Uja wawemtasa ni mchafu.,Uja,Ujha,confirmed_correction
738,Okoo mndu was kaavui wa mwanedu.,mndu,mundu,confirmed_correction
751,Mlale mana m'mbose.,m'mbose,mmbose,apostrophe_rule
760,Nawemghesha angelo's yose.,angelo's,angelos,apostrophe_rule
767,Toe nadakuwona m'wishi.,m'wishi,mwishi,apostrophe_rule
775,Nam'wona seji mwawelomba nichelaghaya.,Nam'wona,Namwona,apostrophe_rule
778,Saweobua mndu kungi aha.,mndu,mundu,confirmed_correction
795,Kulowua ni ilagho ja mana shuu.,ja,jha,confirmed_correction
799,N'ani wawadwa ni mnyanyi,N'ani,Nani,apostrophe_rule
801,Ini n'moni ndewinikabiagha simu,n'moni,nmoni,apostrophe_rule
809,Mndu uamue moni ichi uchaja.,Mndu,Mundu,confirmed_correction
810,"Ini nakuichi, n'oho kuseniichi.",n'oho,noho,apostrophe_rule
833,Namarie simw'onie ungi sa uo.,simw'onie,simwonie,apostrophe_rule
849,Sena m'mbenyu nokunu nachua wasiwasi.,m'mbenyu,mmbenyu,apostrophe_rule
867,Mzi m'baha ni kupambana kurughudie,m'baha,mbaha,apostrophe_rule
875,Ngolo yapo yarirwa shuu n'oho,n'oho,noho,apostrophe_rule
999,Kiwacha cha aghwa w'uwishi,w'uwishi,wuwishi,apostrophe_rule
1002,Chawuchenyi m'mbose kwa kufunya magome gha skulu,m'mbose,mmbose,apostrophe_rule
1003,Choo diende d'daya machi modenyi.,d'daya,ddaya,apostrophe_rule
1005,Idime daenda m'wada mwana wa mwan'duu uvalo icho kivulanguwo.,m'wada,mwada,apostrophe_rule
1005,Idime daenda m'wada mwana wa mwan'duu uvalo icho kivulanguwo.,mwan'duu,mwanduu,apostrophe_rule
1011,"Ghenda ata kwake,oka andenyi nyumbeni",ata,hata,confirmed_correction
1013,Kukawuria ndekucham'mbona jingi.,ndekucham'mbona,ndekuchammbona,apostrophe_rule
1015,Ni'ini narughua uho mnyango.,Ni'ini,Niini,apostrophe_rule
1022,M'wesere mdawana uche na kio.,M'wesere,Mwesere,apostrophe_rule
1029,Kufuma icho hata linu sim'wonagha.,sim'wonagha,simwonagha,apostrophe_rule
1030,Ni oho kwabonya uwu angu ni mndu mzima?,mndu,mundu,confirmed_correction
1032,Ko'imbiri nakundagha mwai wa kulowowa,Ko'imbiri,Koimbiri,apostrophe_rule
1036,"Ikakuwa nisem'mbonagha,simkimbiagha.",nisem'mbonagha,nisemmbonagha,apostrophe_rule
1043,Lolia m'mbenyu marina gha choka dighimanye.,m'mbenyu,mmbenyu,apostrophe_rule
1052,Nyonyi ya isakenyi ni yako na m'mbenyi.,m'mbenyi,mmbenyi,apostrophe_rule
1062,Msawi ndeunagha w'waya.,w'waya,wwaya,apostrophe_rule
1067,Mrasimilo m'wose winiteseriye kutumbanya maghesho.,m'wose,mwose,apostrophe_rule
1074,Meso u'wona momu usiodedagha.,u'wona,uwona,apostrophe_rule
1091,N'loli tiki nikasowa chai chongo chadanija.,N'loli,Nloli,apostrophe_rule
1094,Nadam'winga icho icho kio nawilala kwapo.,Nadam'winga,Nadamwinga,apostrophe_rule
1117,Ughu muzi ni m'baa kuchumba uja.,m'baa,mbaa,apostrophe_rule
1117,Ughu muzi ni m'baa kuchumba uja.,uja,ujha,confirmed_correction
1125,Uhuu mndu oka na kazi ipoie.,mndu,mundu,confirmed_correction
1134,Mndu uvalwe isangenyi mzawo wajikunde.,Mndu,Mundu,confirmed_correction
1149,Mrighiti wabara mndu nicha.,mndu,mundu,confirmed_correction
1151,Wa'mbenyi wadapoilwa ni kudeda.,Wa'mbenyi,Wambenyi,apostrophe_rule
1178,Vindo vipoie wadawowekesha m'mbi.,m'mbi,mmbi,apostrophe_rule
1181,Iji ishairi jawegusia m'mbi redu.,m'mbi,mmbi,apostrophe_rule
1214,Iji ishairi jawesisimua m'mbi ghwa kedu.,m'mbi,mmbi,apostrophe_rule
1241,Mlungu wad'neka mvono shuu.,wad'neka,wadneka,apostrophe_rule
1289,Mlungu wad'nekie akili diritumie.,wad'nekie,wadnekie,apostrophe_rule
1311,Iji igari jaweenda ncha bila kusumbua mndu ungi.,mndu,mundu,confirmed_correction
1331,Ijo Itunda jatesia kuagha m'mbi.,m'mbi,mmbi,apostrophe_rule
